11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,14,11,11,11,11,11,11,14,11,11,11,11,11
11,14,11,11,11,11,3,21,21,21,5,11,11,11,11,11,11,14,11,11
11,11,11,11,11,11,12,-1,-1,-1,10,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,12,-1,-1,-1,10,11,11,11,11,11,11,11,11,11
11,11,11,14,11,11,12,-1,-1,-1,10,11,11,11,11,11,11,14,11,11
11,14,11,11,11,11,23,19,39,49,25,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,14,11,11,11,14,11,11,11,11,14,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,11,11,11
11,11,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11
