11,11,11,14,11,11,14,3,21,21,21,5,11,11,11,14,11,11,11,11
11,11,11,11,11,11,11,13,-1,-1,-1,15,11,14,11,11,11,11,11,11
11,11,14,11,11,3,21,22,-1,-1,-1,15,11,11,11,11,11,11,14,11
21,21,21,21,21,22,-1,-1,-1,-1,-1,20,21,5,11,11,11,11,11,11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,11,11,14,11,11,11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,21,21,21,21,21
-1,-1,0,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,18,21,21,21,21,28,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,21,22,-1,-1,-1,-1,20,21,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,8,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,19,29,29,49,1,1,19,49,1,1,1,19,29,49,1,1,1
